District,Teachers,2013-14,2017-18,2018-19
North County Joint Union Elem. (San Benito),35,63912,73836,74575
Aromas/San Juan Unified (San Benito),55,67955,68914,71039
Chaffey Union High (San Bernardino),996,83285,98858,102311
San Bernardino Co. Office of Ed. (San Bernardino),274,77142,90764,92837
Ontario-Montclair Elementary (San Bernardino),1091,74093,87821,91106
Victor Valley Union High (San Bernardino),424,65475,null,90624
Mountain View Elementary (San Bernardino),103,80269,87656,89721
Fontana Unified (San Bernardino),1772,72272,84509,88170
Yucaipa-Calimesa Joint Unified (San Bernardino),440,74535,84535,86565
San Bernardino City Unified (San Bernardino),2616,73599,85252,86401
Chino Unified (San Bernardino),1283,78442,83150,86352
Rialto Unified (San Bernardino),1183,75614,84038,86338
Etiwanda Elementary (San Bernardino),672,75682,81495,85751
Hesperia Unified (San Bernardino),1002,67156,81656,85362
Victor Elementary (San Bernardino),553,77084,85517,84936
Redlands Unified (San Bernardino),1127,76518,85061,84929
Alta Loma Elementary (San Bernardino),249,73199,81404,84476
Apple Valley Unified (San Bernardino),616,71164,79336,83395
Colton Joint Unified (San Bernardino),1059,69525,82085,82937
Adelanto Elementary (San Bernardino),391,64161,81514,82719
Cucamonga Elementary (San Bernardino),136,73651,80591,82302
Upland Unified (San Bernardino),552,71522,80166,82293
Bear Valley Unified (San Bernardino),105,70845,77713,81529
Snowline Joint Unified (San Bernardino),369,68615,77941,80705
Morongo Unified (San Bernardino),424,69869,75941,77850
Barstow Unified (San Bernardino),270,64481,75005,77485
Helendale Elementary (San Bernardino),50,61216,70489,77016
Needles Unified (San Bernardino),50,70510,74119,76725
Central Elementary (San Bernardino),219,72167,74776,76015
Rim of the World Unified (San Bernardino),145,64534,70313,72709
Silver Valley Unified (San Bernardino),125,62121,69479,69446
Oro Grande Elementary (San Bernardino),4,0,null,68259
Mt. Baldy Joint Elementary (San Bernardino),5,0,null,56948
San Dieguito Union High (San Diego),565,79667,103164,104405
San Diego County Office of Ed. (San Diego),230,78001,91863,94856
Solana Beach Elementary (San Diego),201,78731,86880,90710
Del Mar Union Elementary (San Diego),269,77305,88302,90187
Cardiff Elementary (San Diego),45,0,83975,87917
La Mesa-Spring Valley Elem. (San Diego),584,76712,86058,87249
Sweetwater Union High (San Diego),1781,78048,87617,86862
South Bay Union Elementary (San Diego),381,72469,85055,86738
San Ysidro Elementary (San Diego),232,73103,82180,86430
Carlsbad Unified (San Diego),503,74077,81643,85233
Encinitas Union Elementary (San Diego),274,75386,80974,84529
Grossmont Union High (San Diego),763,73414,84020,84316
San Diego City Unified (San Diego),5506,69748,80624,83542
Rancho Santa Fe Elementary (San Diego),64,71845,80401,83476
Vista Unified (San Diego),1100,67836,79086,83188
Lemon Grove Elementary (San Diego),184,71900,79752,83181
Valley Center-Pauma Unified (San Diego),192,78583,81073,82955
Oceanside City Unified (San Diego),821,76276,81388,82434
Chula Vista Elementary (San Diego),1374,67803,78751,81733
Fallbrook Union Elementary (San Diego),258,72574,78862,81360
Escondido Union High (San Diego),365,65567,78494,81232
San Marcos Unified (San Diego),1076,68567,77016,80122
National Elementary (San Diego),291,67358,76870,80038
Escondido Union Elementary (San Diego),934,69791,76887,80013
Poway Unified (San Diego),1562,72715,79082,79856
Cajon Valley Union Elementary (San Diego),872,72225,80648,79794
Santee Elementary (San Diego),336,72734,78937,78552
Fallbrook Union High (San Diego),101,72624,78685,78547
Coronado Unified (San Diego),171,65417,73871,77735
Alpine Union Elementary (San Diego),80,67521,73324,77094
Lakeside Union Elementary (San Diego),270,67835,74595,76958
Ramona City Unified (San Diego),274,68302,73089,75391
San Pasqual Union Elementary (San Diego),31,61636,71530,75138
Bonsall Unified (San Diego),138,62210,69214,69598
Julian Union High (San Diego),10,0,null,67102
Jamul-Dulzura Un Elementary (San Diego),27,67275,69955,66520
Borrego Springs Unified (San Diego),29,0,null,65678
Mountain Empire Unified (San Diego),112,53236,61683,61040
San Francisco Unified (San Francisco),3660,64434,73379,75872
Manteca Unified (San Joaquin),1210,70209,80285,80457
Tracy Joint Unified (San Joaquin),665,69366,76982,80013
Stockton City Unified (San Joaquin),1823,61632,75370,76001
Lodi Unified (San Joaquin),1487,66178,73304,75702
